Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
1,2023,C,Patrick Bailey,24,97,353,326,29,76,18,1,7,48,1,0,21,100,0.233,0.285,0.359,0.644,77,117,8,3,2,1,0,Right,Yes
2,2023,1B,LaMonte Wade Jr.,29,135,519,429,64,110,14,2,17,45,2,0,76,95,0.256,0.373,0.417,0.79,119,179,4,6,4,4,3,Left,No
3,2023,2B,Thairo Estrada,27,120,530,495,63,134,26,2,14,49,23,7,22,120,0.271,0.315,0.416,0.731,101,206,10,11,0,2,1,Right,No
4,2023,SS,Brandon Crawford,36,93,320,283,31,55,11,1,7,38,3,0,28,81,0.194,0.273,0.314,0.587,63,89,5,4,1,4,1,Left,No
5,2023,3B,J.D. Davis,30,144,546,480,61,119,23,1,18,69,1,0,52,152,0.248,0.325,0.413,0.738,103,198,16,6,0,6,0,Right,No
6,2023,LF,Mitch Haniger,32,61,229,211,27,44,13,1,6,28,1,0,15,65,0.209,0.266,0.365,0.631,73,77,7,2,0,1,0,Right,No
7,2023,CF,Luis Matos,21,76,253,228,24,57,13,1,2,14,3,0,20,33,0.25,0.319,0.342,0.661,84,78,3,3,2,0,0,Right,No
8,2023,RF,Michael Conforto,30,125,470,406,58,97,14,0,15,58,4,0,53,106,0.239,0.334,0.384,0.718,99,156,12,7,0,4,4,Left,No
9,2023,DH,Joc Pederson,31,121,425,358,59,84,14,3,15,51,0,0,57,89,0.235,0.348,0.416,0.764,111,149,12,7,0,3,6,Left,No
10,2023,1B,Wilmer Flores,31,126,454,405,51,115,22,0,23,60,0,0,41,63,0.284,0.355,0.509,0.863,136,206,13,5,0,3,1,Right,No
11,2023,OF,Mike Yastrzemski,32,106,381,330,54,77,23,1,15,43,2,2,45,99,0.233,0.33,0.445,0.775,113,147,5,3,2,1,3,Left,No
12,2023,UT,Blake Sabol,25,110,344,310,36,73,10,0,13,44,4,2,24,117,0.235,0.301,0.394,0.695,91,122,4,6,2,2,0,Left,No
13,2023,IF,Casey Schmitt,24,90,277,253,28,52,15,0,5,30,2,1,13,65,0.206,0.255,0.324,0.58,60,82,7,5,3,3,0,Right,No
14,2023,OF,Austin Slater,30,89,207,185,24,50,9,0,5,20,2,2,20,58,0.27,0.348,0.4,0.748,107,74,2,2,0,0,0,Right,No
15,2023,IF,David Villar,26,46,140,124,15,18,6,0,5,12,1,1,11,45,0.145,0.236,0.315,0.55,51,39,1,4,0,1,0,Right,No
16,2023,2B,Brett Wisely,24,51,131,120,10,21,5,0,2,8,2,1,9,40,0.175,0.231,0.267,0.497,38,32,2,0,1,1,0,Left,No
17,2023,C,Joey Bart,26,30,95,87,9,18,5,0,0,5,0,0,3,23,0.207,0.263,0.264,0.528,47,23,0,4,0,1,0,Right,No
18,2023,CF,Wade Meckler,23,20,64,56,6,13,1,0,0,4,0,0,6,25,0.232,0.328,0.25,0.578,64,14,0,2,0,0,0,Left,No
19,2023,OF,Heliot Ramos,23,25,60,56,5,10,4,0,1,2,0,0,4,20,0.179,0.233,0.304,0.537,48,17,1,0,0,0,0,Right,No
20,2023,SS,Paul DeJong,29,18,50,49,2,9,2,0,1,5,0,0,0,16,0.184,0.18,0.286,0.466,26,14,1,0,0,1,0,Right,No
21,2023,CF,Bryce Johnson,27,30,48,43,7,7,1,0,1,3,3,0,4,15,0.163,0.229,0.256,0.485,35,11,0,0,0,1,0,Right,Yes
22,2023,SS,Marco Luciano,21,14,45,39,4,9,3,0,0,0,1,0,6,17,0.231,0.333,0.308,0.641,80,12,0,0,0,0,0,Right,No
23,2023,UT,Tyler Fitzgerald,25,10,34,32,3,7,2,0,2,5,2,0,2,10,0.219,0.265,0.469,0.733,98,15,0,0,0,0,0,Right,No
24,2023,DH,Darin Ruf,36,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.37,0.348,0.718,102,8,0,0,0,0,0,Right,No
25,2023,IF,Isan Díaz,27,6,21,19,0,1,0,0,0,1,0,0,2,7,0.053,0.143,0.053,0.195,-42,1,0,0,0,0,0,Left,No
26,2023,IF,Johan Camargo,29,8,20,18,0,4,0,0,0,2,0,0,1,4,0.222,0.3,0.222,0.522,49,4,2,1,0,0,0,Right,Yes
27,2023,C,Roberto Pérez,34,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,7,2,0,0,0,0,0,Right,No
28,2023,CF,Cal Stevenson,26,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0.25,0,0.25,-21,0,0,0,0,0,0,Left,No
29,2023,2B,Mark Mathias,28,5,10,10,1,2,0,0,0,2,0,0,0,4,0.2,0.2,0.2,0.4,12,2,1,0,0,0,0,Right,No
30,2023,OF,AJ Pollock,35,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,Right,No
31,2023,DH,Matt Beaty,30,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,12,1,0,0,0,0,0,Left,No
32,2023,C,Austin Wynns,32,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,Right,No
1,2022,C,Joey Bart,25,97,291,261,34,56,6,0,11,25,2,1,26,112,0.215,0.296,0.364,0.66,87,95,5,4,0,0,0,Right,No
2,2022,1B,Brandon Belt,34,78,298,254,25,54,9,1,8,23,1,0,37,81,0.213,0.326,0.35,0.676,93,89,9,6,0,1,2,Left,No
3,2022,2B,Thairo Estrada,26,140,541,488,71,127,22,2,14,62,21,6,33,89,0.26,0.322,0.4,0.722,105,195,10,14,1,5,0,Right,No
4,2022,SS,Brandon Crawford,35,118,458,407,50,94,15,2,9,52,1,1,39,98,0.231,0.308,0.344,0.652,86,140,12,8,0,4,3,Left,No
5,2022,3B,Evan Longoria,36,89,298,266,31,65,13,0,14,42,0,0,27,83,0.244,0.315,0.451,0.767,116,120,6,2,0,3,2,Right,No
6,2022,LF,Joc Pederson,30,134,433,380,57,104,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,146,198,5,7,0,4,3,Left,No
7,2022,CF,Mike Yastrzemski,31,148,558,485,73,104,31,2,17,57,5,1,61,141,0.214,0.305,0.392,0.697,97,190,3,5,1,6,0,Left,No
8,2022,RF,Luis González,26,98,350,311,31,79,17,2,4,36,10,2,30,75,0.254,0.323,0.36,0.683,95,112,5,4,0,5,1,Left,No
9,2022,DH,Tommy La Stella,33,60,195,180,17,43,14,0,2,14,0,0,11,30,0.239,0.282,0.35,0.632,79,63,4,1,0,3,0,Left,No
10,2022,IF,Wilmer Flores,30,151,602,525,72,120,28,1,19,71,0,0,59,103,0.229,0.316,0.394,0.71,101,207,7,11,0,7,1,Right,No
11,2022,CF,Austin Slater,29,125,325,277,49,73,15,2,7,34,12,1,40,89,0.264,0.366,0.408,0.774,121,113,9,6,0,2,0,Right,No
12,2022,UT,Darin Ruf,35,90,314,268,46,58,9,0,11,38,2,0,40,85,0.216,0.328,0.373,0.701,100,100,8,5,0,1,0,Right,No
13,2022,UT,LaMonte Wade Jr.,28,77,251,217,29,45,7,1,8,26,1,0,26,51,0.207,0.305,0.359,0.665,89,78,0,5,2,1,0,Left,No
14,2022,3B,David Villar,25,52,181,156,21,36,6,1,9,24,0,1,18,58,0.231,0.331,0.455,0.787,122,71,4,6,0,1,0,Right,No
15,2022,C,Austin Wynns,31,65,177,162,14,42,7,0,3,21,0,0,10,38,0.259,0.313,0.358,0.671,91,58,9,3,1,1,0,Right,No
16,2022,CI,J.D. Davis,29,49,158,137,20,36,8,0,8,14,0,0,19,56,0.263,0.361,0.496,0.857,142,68,4,2,0,0,1,Right,No
17,2022,C,Curt Casali,33,41,126,108,13,25,3,0,4,14,0,0,15,36,0.231,0.325,0.37,0.696,98,40,1,1,0,2,0,Right,No
18,2022,3B,Jason Vosler,28,36,111,98,14,26,6,1,4,12,1,1,10,29,0.265,0.342,0.469,0.812,129,46,3,2,0,1,1,Left,No
19,2022,DH,Yermín Mercedes,29,31,83,73,9,17,5,0,1,8,0,0,9,17,0.233,0.325,0.342,0.668,91,25,1,1,0,0,0,Right,No
20,2022,MI,Donovan Walton,28,24,78,76,8,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303,0.482,34,23,1,1,0,0,0,Left,No
21,2022,UT,Mauricio Dubón,27,21,49,46,10,11,1,0,2,8,0,0,1,4,0.239,0.245,0.391,0.636,78,18,0,0,0,2,0,Right,No
22,2022,CF,Lewis Brinson,28,16,39,36,5,6,2,0,3,4,1,0,2,14,0.167,0.211,0.472,0.683,87,17,0,0,1,0,0,Right,No
23,2022,CF,Steven Duggar,28,12,39,36,2,7,3,0,0,4,4,0,2,16,0.194,0.231,0.278,0.509,45,10,0,0,0,1,0,Left,No
24,2022,OF,Heliot Ramos,22,9,22,20,4,2,0,0,0,0,0,0,2,6,0.1,0.182,0.1,0.282,-16,2,1,0,0,0,0,Right,No
25,2022,2B,Ford Proctor,25,7,22,18,3,2,0,0,1,6,0,0,2,3,0.111,0.182,0.278,0.46,29,5,0,0,0,2,0,Left,No
26,2022,OF,Bryce Johnson,26,11,19,18,1,2,0,0,0,2,0,0,1,7,0.111,0.158,0.111,0.269,-21,2,0,0,0,0,0,Right,Yes
27,2022,SS,Dixon Machado,30,5,17,15,1,3,0,0,0,0,0,0,1,5,0.2,0.294,0.2,0.494,45,3,0,1,0,0,0,Right,No
28,2022,CI,Kevin Padlo,25,4,12,12,0,2,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,-4,2,1,0,0,0,0,Right,No
29,2022,UT,Luke Williams,25,8,12,12,1,3,1,0,0,3,0,0,0,4,0.25,0.25,0.333,0.583,65,4,0,0,0,0,0,Right,No
30,2022,UT,Michael Papierski,26,5,10,9,1,0,0,0,0,0,0,0,1,4,0,0.1,0,0.1,-68,0,0,0,0,0,0,Right,Yes
31,2022,LF,Jason Krizan,33,3,10,8,0,1,0,0,0,0,0,0,2,3,0.125,0.3,0.125,0.425,28,1,0,0,0,0,0,Left,No
32,2022,DH,Willie Calhoun,27,4,9,8,0,1,0,0,0,1,0,0,1,2,0.125,0.222,0.125,0.347,3,1,1,0,0,0,0,Left,No
33,2022,OF,Austin Dean,28,3,9,8,1,3,0,0,0,0,0,0,1,0,0.375,0.444,0.375,0.819,138,3,0,0,0,0,0,Right,No
34,2022,CF,Stuart Fairchild,26,5,8,8,1,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,Right,No
35,2022,C,Andrew Knapp,30,3,7,4,2,1,0,0,0,2,0,0,2,0,0.25,0.429,0.25,0.679,101,1,0,0,0,1,0,Right,Yes
36,2022,1B,Mike Ford,29,1,4,4,0,1,0,0,0,2,0,0,0,0,0.25,0.25,0.25,0.5,44,1,0,0,0,0,0,Left,No
37,2022,RF,Ka'ai Tom,28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,Left,No
1,2021,C,Buster Posey,34,113,454,395,68,120,23,0,18,56,0,0,56,87,0.304,0.39,0.499,0.889,140,197,15,1,0,2,5,Right,No
2,2021,1B,Brandon Belt,33,97,381,325,65,89,14,2,29,59,3,2,48,103,0.274,0.378,0.597,0.975,160,194,9,7,0,1,3,Left,No
3,2021,2B,Donovan Solano,33,101,344,307,35,86,17,0,7,31,2,0,25,58,0.28,0.344,0.404,0.748,103,124,8,7,1,4,2,Right,No
4,2021,SS,Brandon Crawford,34,138,549,483,79,144,30,3,24,90,11,3,56,105,0.298,0.373,0.522,0.895,141,252,8,5,0,5,6,Left,No
5,2021,3B,Evan Longoria,35,81,291,253,45,66,17,0,13,46,1,1,35,68,0.261,0.351,0.482,0.833,124,122,9,1,0,2,4,Right,No
6,2021,LF,Alex Dickerson,31,111,312,283,37,66,10,2,13,38,1,0,23,76,0.233,0.304,0.42,0.725,95,119,7,6,0,0,1,Left,No
7,2021,CF,Steven Duggar,27,107,297,268,45,69,14,5,8,35,7,0,27,88,0.257,0.33,0.437,0.767,107,117,4,2,0,0,3,Left,No
8,2021,RF,Mike Yastrzemski,30,139,532,468,75,105,28,3,25,71,4,0,51,131,0.224,0.311,0.457,0.768,106,214,3,9,1,3,4,Left,No
9,2021,IF,Wilmer Flores,29,139,436,389,57,102,16,1,18,53,1,0,41,56,0.262,0.335,0.447,0.782,111,174,11,3,0,3,0,Right,No
10,2021,UT,LaMonte Wade Jr.,27,109,381,336,52,85,17,3,18,56,6,1,33,89,0.253,0.326,0.482,0.808,117,162,3,5,4,3,1,Left,No
11,2021,UT,Darin Ruf,34,117,312,262,41,71,13,2,16,43,2,0,46,87,0.271,0.385,0.519,0.904,143,136,8,3,0,1,2,Right,No
12,2021,CF,Austin Slater,28,129,306,274,39,66,12,1,12,32,15,2,28,84,0.241,0.32,0.423,0.744,101,116,7,4,0,0,2,Right,No
13,2021,2B,Tommy La Stella,32,76,242,220,26,55,11,1,7,27,0,0,18,26,0.25,0.308,0.405,0.713,92,89,4,1,0,1,1,Left,No
14,2021,C,Curt Casali,32,77,231,200,20,42,11,1,5,26,0,0,26,66,0.21,0.313,0.35,0.663,81,70,3,4,1,0,4,Right,No
15,2021,UT,Kris Bryant,29,51,212,187,28,49,13,0,7,22,6,0,23,46,0.262,0.344,0.444,0.788,113,83,3,1,0,1,3,Right,No
16,2021,UT,Mauricio Dubón,26,74,187,175,20,42,9,0,5,22,2,1,9,41,0.24,0.278,0.377,0.655,76,66,5,1,0,2,2,Right,No
17,2021,LF,Mike Tauchman,30,64,175,152,21,27,4,0,4,15,1,3,22,52,0.178,0.286,0.283,0.569,56,43,0,1,0,0,0,Left,No
18,2021,MI,Thairo Estrada,25,52,132,121,19,33,4,0,7,22,1,0,9,23,0.273,0.333,0.479,0.813,118,58,2,2,0,0,1,Right,No
19,2021,3B,Jason Vosler,27,41,82,73,12,13,4,0,3,9,2,0,7,21,0.178,0.256,0.356,0.612,65,26,5,1,0,1,1,Left,No
20,2021,C,Chadwick Tromp,26,9,18,18,1,4,0,0,1,2,0,0,0,4,0.222,0.222,0.389,0.611,62,7,1,0,0,0,0,Right,No
21,2021,OF,Jaylin Davis,26,5,9,9,1,1,1,0,0,0,0,0,0,1,0.111,0.111,0.222,0.333,-12,2,1,0,0,0,0,Right,No
22,2021,C,Joey Bart,24,2,6,6,1,2,0,0,0,1,0,0,0,2,0.333,0.333,0.333,0.667,83,2,0,0,0,0,0,Right,No
23,2021,LF,Skye Bolt,27,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,Yes
1,2020,C,Joey Bart,23,33,111,103,15,24,5,2,0,7,0,0,3,41,0.233,0.288,0.32,0.609,68,33,1,5,0,0,0,Right,No
2,2020,1B,Brandon Belt,32,51,179,149,25,46,13,1,9,30,0,0,30,36,0.309,0.425,0.591,1.015,177,88,5,0,0,0,1,Left,No
3,2020,2B,Donovan Solano,32,54,203,190,22,62,15,1,3,29,0,0,10,39,0.326,0.365,0.463,0.828,127,88,2,2,0,1,0,Right,No
4,2020,SS,Brandon Crawford,33,54,193,172,26,44,12,0,8,28,1,2,15,47,0.256,0.326,0.465,0.792,115,80,3,4,0,2,2,Left,No
5,2020,3B,Evan Longoria,34,53,209,193,26,49,10,1,7,28,0,1,11,39,0.254,0.297,0.425,0.722,96,82,10,2,0,3,0,Right,No
6,2020,LF,Alex Dickerson,30,52,170,151,28,45,10,1,10,27,0,0,16,30,0.298,0.371,0.576,0.947,156,87,5,2,0,1,2,Left,No
7,2020,CF,Mauricio Dubón,25,54,177,157,21,43,4,1,4,19,2,3,15,36,0.274,0.337,0.389,0.726,100,61,4,1,1,2,0,Right,No
8,2020,RF,Mike Yastrzemski,29,54,225,192,39,57,14,4,10,35,2,1,30,55,0.297,0.4,0.568,0.968,164,109,2,3,0,0,2,Left,No
9,2020,DH,Wilmer Flores,28,55,213,198,30,53,11,1,12,32,1,0,13,36,0.268,0.315,0.515,0.83,124,102,5,1,0,1,1,Right,No
10,2020,DH,Austin Slater,27,31,104,85,18,24,2,1,5,7,8,1,16,22,0.282,0.408,0.506,0.914,151,43,2,2,1,0,0,Right,No
11,2020,UT,Darin Ruf,33,40,100,87,11,24,6,0,5,18,1,0,13,23,0.276,0.37,0.517,0.887,142,45,1,0,0,0,0,Right,No
12,2020,DH,Pablo Sandoval,33,33,90,82,5,18,1,0,1,6,0,0,6,18,0.22,0.278,0.268,0.546,52,22,3,1,0,1,0,Right,Yes
13,2020,C,Chadwick Tromp,25,24,64,61,11,13,1,0,4,10,0,0,1,20,0.213,0.219,0.426,0.645,72,26,3,0,0,2,0,Right,No
14,2020,OF,Hunter Pence,37,17,56,52,4,5,0,1,2,6,0,0,3,15,0.096,0.161,0.25,0.411,11,13,3,1,0,0,0,Right,No
15,2020,C,Tyler Heineman,29,15,50,42,3,8,1,0,0,1,1,0,4,6,0.19,0.292,0.214,0.506,44,9,0,2,2,0,0,Right,Yes
16,2020,OF,Steven Duggar,26,21,36,34,3,6,2,0,0,3,1,0,1,11,0.176,0.222,0.235,0.458,27,8,1,1,0,0,0,Left,No
17,2020,UT,Daniel Robertson,26,13,24,21,4,7,0,0,0,2,0,0,3,6,0.333,0.417,0.333,0.75,112,7,0,0,0,0,0,Right,No
18,2020,OF,Luis Alexander Basabe,23,9,18,14,5,2,0,0,0,1,2,0,4,5,0.143,0.333,0.143,0.476,39,2,0,0,0,0,0,Right,Yes
19,2020,RF,Jaylin Davis,25,4,12,12,2,2,0,0,1,1,0,0,0,6,0.167,0.167,0.417,0.583,54,5,0,0,0,0,0,Right,No
20,2020,OF,Joe McCarthy,26,4,10,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,Left,No
21,2020,DH,Justin Smoak,33,3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,1,0,0,0,0,Right,Yes
22,2020,RF,Joey Rickard,29,4,6,5,1,0,0,0,0,0,0,0,1,1,0,0.167,0,0.167,-48,0,0,0,0,0,0,Right,No
23,2020,C,Rob Brantly,30,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,Left,No
1,2019,C,Buster Posey,32,114,445,405,43,104,24,0,7,38,0,0,34,71,0.257,0.32,0.368,0.688,83,149,18,4,1,1,1,Right,No
2,2019,1B,Brandon Belt,31,156,616,526,76,123,32,3,17,57,4,3,83,127,0.234,0.339,0.403,0.742,97,212,6,3,0,4,3,Left,No
3,2019,2B,Joe Panik,28,103,388,344,33,81,17,1,3,27,4,2,36,38,0.235,0.31,0.317,0.627,68,109,5,3,1,4,2,Left,No
4,2019,SS,Brandon Crawford,32,147,560,500,58,114,24,2,11,59,3,2,53,117,0.228,0.304,0.35,0.654,74,175,10,3,0,4,5,Left,No
5,2019,3B,Evan Longoria,33,129,508,453,59,115,19,2,20,69,3,1,43,112,0.254,0.325,0.437,0.762,101,198,14,7,0,5,1,Right,No
6,2019,LF,Mike Yastrzemski,28,107,411,371,64,101,22,3,21,55,2,4,32,107,0.272,0.334,0.518,0.852,122,192,4,4,1,3,1,Left,No
7,2019,CF,Kevin Pillar,30,156,628,595,82,157,37,3,21,87,14,5,18,86,0.264,0.293,0.442,0.735,92,263,15,9,0,6,4,Right,No
8,2019,RF,Austin Slater,26,68,192,168,20,40,9,3,5,21,1,0,22,59,0.238,0.333,0.417,0.75,99,70,1,2,0,0,1,Right,No
9,2019,3B,Pablo Sandoval,32,108,296,272,42,73,23,0,14,41,1,0,18,67,0.268,0.313,0.507,0.82,113,138,8,1,2,3,2,Right,Yes
10,2019,OF,Steven Duggar,25,73,281,261,26,61,12,2,4,28,1,4,16,78,0.234,0.278,0.341,0.619,64,89,1,1,0,3,0,Left,No
11,2019,C,Stephen Vogt,34,99,280,255,30,67,24,2,10,40,3,1,20,66,0.263,0.314,0.49,0.804,110,125,1,1,0,4,1,Left,No
12,2019,MI,Donovan Solano,31,81,228,215,27,71,13,1,4,23,0,1,10,49,0.33,0.36,0.456,0.815,116,98,4,1,0,2,0,Right,No
13,2019,LF,Alex Dickerson,29,56,171,155,28,45,13,3,6,26,1,1,13,35,0.29,0.351,0.529,0.88,130,82,5,2,0,1,1,Left,No
14,2019,UT,Tyler Austin,27,70,147,130,24,24,2,1,8,20,1,0,17,57,0.185,0.279,0.4,0.679,78,52,1,0,0,0,0,Right,No
15,2019,2B,Mauricio Dubón,24,28,109,104,12,29,5,0,4,9,3,1,5,19,0.279,0.312,0.442,0.754,98,46,3,0,0,0,0,Right,No
16,2019,OF,Gerardo Parra,32,30,97,86,8,17,3,0,1,6,2,1,8,18,0.198,0.278,0.267,0.546,47,23,0,2,0,1,2,Left,No
17,2019,UT,Yangervis Solarte,31,28,78,73,9,15,5,0,1,7,0,0,4,16,0.205,0.247,0.315,0.562,49,23,4,0,1,0,1,Right,Yes
18,2019,2B,Scooter Gennett,29,21,67,64,11,15,4,0,2,6,0,0,1,21,0.234,0.254,0.391,0.644,68,25,1,1,0,1,0,Left,No
19,2019,LF,Mac Williamson,28,15,57,51,3,6,1,0,1,7,2,0,5,18,0.118,0.211,0.196,0.407,10,10,2,1,0,0,0,Right,No
20,2019,LF,Joey Rickard,28,26,54,50,4,14,2,0,1,4,1,0,4,17,0.28,0.333,0.38,0.713,90,19,1,0,0,0,0,Right,No
21,2019,RF,Jaylin Davis,24,17,47,42,2,7,0,0,1,3,1,2,3,11,0.167,0.255,0.238,0.493,33,10,1,2,0,0,0,Right,No
22,2019,UT,Aramis Garcia,26,18,46,42,5,6,1,0,2,5,0,0,4,21,0.143,0.217,0.31,0.527,38,13,1,0,0,0,1,Right,No
23,2019,C,Erik Kratz,39,15,36,32,1,4,2,0,1,3,0,0,2,6,0.125,0.222,0.281,0.503,33,9,0,2,0,0,0,Right,No
24,2019,OF,Mike Gerber,26,12,26,24,0,1,1,0,0,0,0,0,2,15,0.042,0.115,0.083,0.199,-45,2,0,0,0,0,0,Left,No
25,2019,IF,Cristhian Adames,27,10,24,22,1,7,1,0,0,2,0,0,2,8,0.318,0.375,0.364,0.739,99,8,0,0,0,0,0,Right,Yes
26,2019,1B,Chris Shaw,25,16,20,18,0,1,0,0,0,0,0,0,2,8,0.056,0.15,0.056,0.206,-41,1,0,0,0,0,0,Left,No
27,2019,IF,Corban Joseph,30,8,17,16,0,1,0,0,0,2,0,0,1,6,0.063,0.118,0.063,0.18,-49,1,0,0,0,0,0,Left,No
28,2019,LF,Connor Joe,26,8,16,15,1,1,0,0,0,0,0,0,1,5,0.067,0.125,0.067,0.192,-46,1,1,0,0,0,0,Right,No
29,2019,3B,Zach Green,25,8,16,14,1,2,1,0,0,1,0,0,2,6,0.143,0.25,0.214,0.464,26,3,2,0,0,0,0,Right,No
30,2019,UT,Abiatal Avelino,24,4,8,7,0,2,0,0,0,1,0,0,1,3,0.286,0.375,0.286,0.661,81,2,0,0,0,0,0,Right,No
31,2019,OF,Michael Reed,26,4,8,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-100,0,0,0,0,0,0,Right,No
32,2019,,Aaron Altherr,28,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,Right,No
1,2018,C,Buster Posey,31,105,448,398,47,113,22,1,5,41,3,2,45,53,0.284,0.359,0.382,0.741,108,152,12,3,0,2,3,Right,No
2,2018,1B,Brandon Belt,30,112,456,399,50,101,18,2,14,46,4,0,49,107,0.253,0.342,0.414,0.756,110,165,2,6,0,2,6,Left,No
3,2018,2B,Joe Panik,27,102,392,358,38,91,14,1,4,24,4,2,26,30,0.254,0.307,0.332,0.639,79,119,10,3,1,4,3,Left,No
4,2018,SS,Brandon Crawford,31,151,594,531,63,135,28,2,14,54,4,5,50,122,0.254,0.325,0.394,0.719,100,209,12,8,0,5,13,Left,No
5,2018,3B,Evan Longoria,32,125,512,480,51,117,25,4,16,54,3,1,22,101,0.244,0.281,0.413,0.694,91,198,11,5,0,5,3,Right,No
6,2018,LF,Hunter Pence,35,97,248,235,19,53,11,1,4,24,5,1,11,59,0.226,0.258,0.332,0.59,64,78,1,0,0,2,1,Right,No
7,2018,CF,Gorkys Hernández,30,142,451,414,52,97,16,2,15,40,8,5,27,113,0.234,0.285,0.391,0.676,87,162,14,4,2,4,1,Right,No
8,2018,RF,Andrew McCutchen,31,130,568,482,65,123,28,2,15,55,13,6,73,123,0.255,0.357,0.415,0.772,115,200,11,7,0,6,1,Right,No
9,2018,2B,Alen Hanson,25,110,310,294,36,74,17,5,8,39,7,3,9,71,0.252,0.274,0.425,0.699,91,125,4,1,3,3,0,Right,Yes
10,2018,C,Nick Hundley,34,96,305,282,34,68,13,2,10,31,2,1,22,85,0.241,0.298,0.408,0.706,95,115,8,1,0,0,2,Right,No
11,2018,CI,Pablo Sandoval,31,92,252,230,22,57,10,1,9,40,0,0,19,52,0.248,0.31,0.417,0.727,101,96,9,2,0,1,2,Right,Yes
12,2018,UT,Austin Slater,25,74,225,199,21,50,6,1,1,23,7,0,20,69,0.251,0.333,0.307,0.64,81,61,5,5,0,1,2,Right,No
13,2018,OF,Grégor Blanco,34,68,203,189,19,41,7,3,2,12,6,2,12,58,0.217,0.262,0.317,0.58,61,60,2,0,1,1,0,Left,No
14,2018,CF,Austin Jackson,31,59,165,149,12,36,8,0,0,13,2,1,14,59,0.242,0.309,0.295,0.604,71,44,4,1,0,1,2,Right,No
15,2018,2B,Kelby Tomlinson,28,63,152,140,9,29,4,2,0,10,0,2,9,35,0.207,0.265,0.264,0.529,49,37,3,2,1,0,0,Right,No
16,2018,CF,Steven Duggar,24,41,152,141,20,36,11,1,2,17,5,1,10,44,0.255,0.303,0.39,0.693,92,55,0,0,0,1,1,Left,No
17,2018,LF,Mac Williamson,27,28,105,94,14,20,4,0,4,11,1,1,11,27,0.213,0.295,0.383,0.678,88,36,1,0,0,0,0,Right,No
18,2018,IF,Chase d'Arnaud,31,42,100,93,9,20,5,0,3,9,2,1,4,37,0.215,0.253,0.366,0.618,70,34,0,1,1,1,0,Right,No
19,2018,UT,Aramis Garcia,25,19,65,63,8,18,1,0,4,9,0,0,2,31,0.286,0.308,0.492,0.8,119,31,1,0,0,0,0,Right,No
20,2018,LF,Chris Shaw,24,22,62,54,2,10,2,0,1,7,1,0,7,23,0.185,0.274,0.278,0.552,55,15,0,0,0,1,0,Left,No
21,2018,2B,Miguel Gómez,25,9,15,15,3,4,0,0,0,1,0,0,0,5,0.267,0.267,0.267,0.533,50,4,0,0,0,0,0,Right,Yes
22,2018,MI,Abiatal Avelino,23,6,11,11,1,3,0,0,0,0,0,0,0,3,0.273,0.273,0.273,0.545,53,3,0,0,0,0,0,Right,No
23,2018,CI,Ryder Jones,24,5,8,8,2,3,0,0,2,3,0,0,0,5,0.375,0.375,1.125,1.5,297,9,0,0,0,0,0,Left,No
1,2017,C,Buster Posey,30,140,568,494,62,158,34,0,12,67,6,1,61,66,0.32,0.4,0.462,0.861,127,228,17,8,0,5,13,Right,No
2,2017,1B,Brandon Belt,29,104,451,382,63,92,27,3,18,51,3,2,66,104,0.241,0.355,0.469,0.823,115,179,5,2,0,1,2,Left,No
3,2017,2B,Joe Panik,26,138,573,511,60,147,28,5,10,53,4,1,46,54,0.288,0.347,0.421,0.768,102,215,10,5,3,8,4,Left,No
